CMDLINE /Users/daws/mmbt/venv/bin/python3.13 run_ga_optimization.py
MEM 0.296875 1744429680.4480
MEM 31.109375 1744429680.5531
MEM 45.578125 1744429680.6582
MEM 62.375000 1744429680.7633
MEM 78.921875 1744429680.8684
MEM 90.687500 1744429680.9735
MEM 127.546875 1744429681.0786
MEM 128.109375 1744429681.1838
MEM 128.390625 1744429681.2889
MEM 129.562500 1744429681.3940
MEM 132.625000 1744429681.4992
MEM 134.125000 1744429681.6043
MEM 136.515625 1744429681.7093
MEM 138.578125 1744429681.8144
MEM 141.968750 1744429681.9194
MEM 141.000000 1744429682.0245
MEM 154.484375 1744429682.1296
MEM 147.781250 1744429682.2347
MEM 142.000000 1744429682.3397
MEM 142.000000 1744429682.4448
MEM 142.000000 1744429682.5498
MEM 141.937500 1744429682.6548
MEM 141.937500 1744429682.7598
MEM 141.953125 1744429682.8649
MEM 141.953125 1744429682.9699
MEM 141.953125 1744429683.0749
MEM 139.937500 1744429683.1800
MEM 139.937500 1744429683.2850
MEM 139.953125 1744429683.3900
MEM 139.953125 1744429683.4951
MEM 139.953125 1744429683.6001
MEM 139.953125 1744429683.7051
MEM 139.953125 1744429683.8102
MEM 139.953125 1744429683.9152
MEM 139.953125 1744429684.0202
MEM 139.968750 1744429684.1252
MEM 139.968750 1744429684.2303
MEM 139.968750 1744429684.3353
MEM 139.968750 1744429684.4403
MEM 139.906250 1744429684.5454
MEM 139.906250 1744429684.6504
MEM 139.906250 1744429684.7555
MEM 139.906250 1744429684.8605
MEM 139.906250 1744429684.9655
MEM 139.906250 1744429685.0706
MEM 139.906250 1744429685.1756
MEM 139.406250 1744429685.2806
MEM 139.406250 1744429685.3857
MEM 139.187500 1744429685.4907
MEM 139.187500 1744429685.5957
MEM 139.187500 1744429685.7007
MEM 139.203125 1744429685.8060
MEM 139.203125 1744429685.9111
MEM 139.203125 1744429686.0161
MEM 139.203125 1744429686.1211
MEM 139.203125 1744429686.2247
MEM 139.203125 1744429686.3297
MEM 139.203125 1744429686.4348
